Era,Count
隋开皇十八年,1
大理国,1
金皇统八年,2
清末,510
明嘉靖二十九年,1
明弘治十年,1
北魏正始四年,3
北魏太和二十三年,1
唐开元二年,3
北魏神龟元年,1
隋大业五年,1
隋开皇三年,8
唐咸通四年,2
北齐河清二年,4
北齐武平二年,2
北周,3
唐开元十九年,2
唐显庆四年,3
隋开皇十七年,2
唐麟德元年,2
东魏兴和二年,7
唐显庆,2
北周保定四年,1
唐贞观五年,1
唐龙朔元年,4
隋开皇二年,3
唐圣历元年,3
唐乾封二年,6
北周天和三年,1
唐上元三年,2
唐仪凤三年,4
唐贞观十五年,2
唐万岁通天元年,1
唐景云二年,1
唐调露元年,2
唐垂拱元年,2
唐神龙元年,3
隋开皇十一年,2
唐开元六年,2
唐仪凤二年,2
西魏大统元年,1
南朝梁大同,1
唐天宝二年,4
北齐天保四年,3
北魏天兴三年,1
唐天宝,3
北魏真王五年,2
唐上元元年,2
北齐天保三年,5
唐仪凤元年,3
唐永徽二年,3
北周武成二年,1
唐总章二年,1
东魏兴和四年,2
唐天宝三年,1
唐咸亨二年,1
北齐天保五年,4
东魏武定七年,5
隋仁寿二年,4
北魏永熙三年,1
隋开皇九年,3
北齐河清四年,4
北宋元符三年,1
北齐天保八年,3
东魏天平四年,6
北齐天保元年,5
唐开元十年,2
北魏景明二年,1
北魏孝昌三年,2
唐万岁登封元年,1
北宋淳化五年,1
北魏孝昌元年,2
唐开元七年,1
明成化二十一年,3
唐乾元元年,1
唐龙朔三年,2
唐天宝元年,1
东魏天平,2
北宋端拱二年,1
唐天宝十三年,2
北周天和四年,1
北魏正始三年,1
唐贞观,2
五代后唐清泰三年,1
北齐天保,2
隋大业六年,2
唐麟德二年,1
北齐武平三年,2
北齐武平,2
南北朝,116
隋大业元年,2
宋孝建元年,1
北齐天统四年,4
唐长寿二年,1
唐开元二十四年,3
北齐皇建二年,2
洪化二年（吴三桂政权）,1
北周天和元年,1
唐开元二十六年,2
北魏正光元年,2
十六国,164
唐景云元年,1
唐天宝四年,4
元大德九年,1
唐乾封,1
清初期,219
东汉末,1
明隆庆二年,3
明嘉靖二十八年,2
明正德六年,2
明初期,4
民国十三年,1
唐永淳元年,2
唐天宝十四年,2
唐开元十六年,2
唐开元二十年,2
明嘉靖十二年,1
其他,13
明嘉靖元年,1
明万历十年,1
日本平安时代,1
西魏大统九年,1
南唐,3
唐贞观二年,2
北魏正始二年,1
北魏孝昌四年,1
北魏太和十年,1
五代十国,113
南朝梁太元二年,1
北魏熙平元年,4
唐神龙二年,1
唐咸亨元年,2
北齐承光,1
南朝齐永明,1
北魏天安二年,1
